title,authors,description,published_date
The Patient Equation,Glen de Vries,"How the data revolution is transforming biotech and health care, especially in the wake of COVID-19—and why you can’t afford to let it pass you by We are living through a time when the digitization of health and medicine is becoming a reality, with new abilities to improve outcomes for patients as well as the efficiency and success of the organizations that serve them. In The Patient Equation, Glen de Vries presents the history and current state of life sciences and health care as well as crucial insights and strategies to help scientists, physicians, executives, and patients survive and thrive, with an eye toward how COVID-19 has accelerated the need for change. One of the biggest challenges facing biotech, pharma, and medical device companies today is how to integrate new knowledge, new data, and new technologies to get the right treatments to the right patients at precisely the right times—made even more profound in the midst of a pandemic and in the years to come. Drawing on the fascinating stories of businesses and individuals that are already making inroads—from a fertility-tracking bracelet changing the game for couples looking to get pregnant, to an entrepreneur reinventing the treatment of diabetes, to Medidata's own work bringing clinical trials into the 21st century—de Vries shares the breakthroughs, approaches, and practical business techniques that will allow companies to stay ahead of the curve and deliver solutions faster, cheaper, and more successfully—while still upholding the principles of traditional therapeutic medicine and reflecting the current environment. How new approaches to cancer and rare diseases are leading the way toward precision medicine What data and digital technologies enable in the building of robust, effective disease management platforms Why value-based reimbursement is changing the business of life sciences How the right alignment of incentives will improve outcomes at every stage of the patient journey Whether you're a scientist, physician, or executive, you can't afford to let the moment pass: understand the landscape with this must-read roadmap for success—and see how you can change health care for the better.",2020-08-04
Catalog of Unabashed Gratitude,Ross Gay,"Winner, 2015 National Book Critics Circle Award, poetry category Winner, 2016 Kingsley Tufts Poetry Prize Finalist, 2015 National Book Award, poetry category Finalist, 2015 NAACP Image Awards, poetry category Catalog of Unabashed Gratitude is a sustained meditation on that which goes away—loved ones, the seasons, the earth as we know it—that tries to find solace in the processes of the garden and the orchard. That is, this is a book that studies the wisdom of the garden and orchard, those places where all—death, sorrow, loss—is converted into what might, with patience, nourish us.",2015-01-16
Managing the global health response to epidemics,"Mathilde Bourrier,Nathalie Brender,Claudine Burton-Jeangros","Recent epidemics have prompted large-scale international interventions, aimed at mitigating the spread of disease in a globalized world. During a crisis, however, global health actions – including planning and organizing, communicating about risk, and cost–benefit evaluations – aren’t usually part of a single, integrated global response. Arguing that an uncoordinated approach can be challenged by local conditions and expectations, generating a wide range of resistance and difficulties, this volume provides important insights for future outbreak management and global health governance. Drawing on experiences with A(H1N1) and Ebola virus disease, the book is divided into three parts looking at how responses to global health crises have developed, lessons learned from particular pandemics and the ethical implications of our management of them. Individual chapters focus on, among other issues, financing, cost–benefit analysis, matrix management, risk communication and organizational strategies. Taking a social science perspective, this valuable book outlines the current state of global health emergency responses and explores ways in which they can be improved. It is a useful read for academics and practitioners interested in global health, the sociology of health and illness, health economics and emergency management.",2019-02-12
The Future After COVID,Jason Schenker,"As a result of the COVID-19 pandemic there have been unprecedented impacts on business, the economy, and society. But what comes next? In The Future After COVID top-ranked forecaster and Chairman of The Futurist Institute, Jason Schenker, offers a futurist perspective into the potential long-term changes, challenges, and opportunities that the experience of COVID-19 is likely to mean for over a dozen different critical fields and industries, including the future of work, education, healthcare, supply chain, and more.",2020-04-03
Harbor Me,Jacqueline Woodson,"Jacqueline Woodson was the 2018-2019 National Ambassador for Young People's Literature A NEW YORK TIMES BESTSELLER! Jacqueline Woodson's first middle-grade novel since National Book Award winner Brown Girl Dreaming celebrates the healing that can occur when a group of students share their stories. It all starts when six kids have to meet for a weekly chat--by themselves, with no adults to listen in. There, in the room they soon dub the ARTT Room (short for ""A Room to Talk""), they discover it's safe to talk about what's bothering them--everything from Esteban's father's deportation and Haley's father's incarceration to Amari's fears of racial profiling and Ashton's adjustment to his changing family fortunes. When the six are together, they can express the feelings and fears they have to hide from the rest of the world. And together, they can grow braver and more ready for the rest of their lives.",2020-04-21
Viral Infections and Global Change,Sunit Kumar Singh,"A timely exploration of the impact of global change on theemergence, reemergence, and control of vector-borne and zoonoticviral infections From massively destructive ""superstorms"" to rapidly rising sealevels, the world media is abuzz with talk of the threats tocivilization posed by global warming. But one hazard that is rarelydiscussed is the dramatic rise in the number and magnitude oftropical virus outbreaks among human populations. One need onlyconsider recent developments, such as the spread of chikungunyaacross southern Europe and dengue in Singapore, Brazil, and thesouthern United States, to appreciate the seriousness of thatthreat. Representing a major addition to the world literature on thesubject, Viral Infections and GlobalChange explores trends of paramount concern globally,regarding the emergence and reemergence of vector-borne andzoonotic viruses. It also provides up-to-date coverage of both theclinical aspects and basic science behind an array of specificemerging and reemerging infections, including everything from WestNile fever and Rift Valley fever to zoonotic hepatitis E and humanbunyavirus. Important topics covered include: ulstyle=""line-height: 25px; margin-left: 15px; margin-top: 0px; font-family: Arial; font-size: 13.333333969116211px;"" Epidemiology, molecular pathogenesis, and evolutionarymechanisms Host-pathogen interactions in an array of viral infections The impact of climate change on historical viral outbreaks The roles of socioeconomics, human behavior, and animal andhuman migrations The growing prevalence of drug and pesticide resistance The introduction of microbes and vectors through increasedtransboundary travel Spillover transmissions and the emergence of viraloutbreaks Detecting and responding to threats from bioterrorism andemerging viral infections Predictive modeling for emerging viral infections Viral Infections and Global Change is anindispensable resource for research scientists, epidemiologists,and medical and veterinary students working in ecology,environmental management, climatology, neurovirology, virology, andinfectious disease.",2013-10-10
Drying Technologies for Biotechnology and Pharmaceutical Applications,"Satoshi Ohtake,Ken-ichi Izutsu,David Lechuga-Ballesteros","A comprehensive source of information about modern drying technologies that uniquely focus on the processing of pharmaceuticals and biologicals Drying technologies are an indispensable production step in the pharmaceutical industry and the knowledge of drying technologies and applications is absolutely essential for current drug product development. This book focuses on the application of various drying technologies to the processing of pharmaceuticals and biologicals. It offers a complete overview of innovative as well as standard drying technologies, and addresses the issues of why drying is required and what the critical considerations are for implementing this process operation during drug product development. Drying Technologies for Biotechnology and Pharmaceutical Applications discusses the state-of-the-art of established drying technologies like freeze- and spray- drying and highlights limitations that need to be overcome to achieve the future state of pharmaceutical manufacturing. The book also describes promising next generation drying technologies, which are currently used in fields outside of pharmaceuticals, and how they can be implemented and adapted for future use in the pharmaceutical industry. In addition, it deals with the generation of synergistic effects (e.g. by applying process analytical technology) and provides an outlook toward future developments. -Presents a full technical overview of well established standard drying methods alongside various other drying technologies, possible improvements, limitations, synergies, and future directions -Outlines different drying technologies from an application-oriented point of view and with consideration of real world challenges in the field of drug product development -Edited by renowned experts from the pharmaceutical industry and assembled by leading experts from industry and academia Drying Technologies for Biotechnology and Pharmaceutical Applications is an important book for pharma engineers, process engineers, chemical engineers, and others who work in related industries.",2020-02-03
INVENTION TO DEFEND YOURSELF FROM THE CORONAVIRUS COVID-19,Luca Falace,"LUCA FALACEINVENTION AND PATENT TO DEFEND HIMSELF FROM THE CORONAVIRUS WORLD HEALTH ORGANIZATION ANNOUNCEMENT, TO THE MINISTRY OF NATIONAL HEALTH, TO THE MINISTRY OF NATIONAL DEFENSE AND CONFINDUSTRIA: INVENTION AND PATENT OF LUCA FALACE INFO: dott.lucafalace@gmail.com ANNOUNCEMENT AGAINST CORONAVIRUS: I make available my non-profit, at a national and international level, my Patent: (patent application filed in the year 2018) Eco-Thermodynamic Suit, for engineering and production against contagion from viruses and bacteria. My PATENTED INVENTION ( YEAR 2018) in addition to stabilizing the temperature of the human body, ALLOWS THE PHYSICAL INSULATION; THERMAL, ANAEROBIC, ASEPTIC OF THE HUMAN BODY. (Detailed description in patent attachments) THIS WOULD ALLOW CITIZENS TO BE ABLE TO LEAVE THE HOUSE AND PROTECT ALL INSTITUTIONAL FIGURES AT ALL LEVELS, IN PARTICULAR ALL INSTITUTIONAL FIGURES, AS REGARDS THE MEDICAL AID, ASSISTANCE AND SURVEILLANCE IN ZONE OF PANDEMIA AND AGAINST CONTACT FROM VIRUSES AND BACTERIA. I am available for free, for the engineering of my patent providing all my documentation and patent attachments; helping in this sense the national and international system. Below I have reported some specifications of my invention to be realized and produced, on a national and global scale. They are available free of charge, to help the system and national and international institutions. Luca Falace Patent Application: Aseptic Eco-Thermodynamic Suit year 2018. Inventor and owner of the Patent: Luca Falace INTRODUCTION Dear reader, I would like to make available to the world community an invention of mine and my patent, filed in 2018, against virus infection. Right now humanity is struggling to start fighting this new virus, corona virus. I filed a patent in the year 2018, with all the explanations, to make my invention. I would like to make my invention available to humanity. How can we do? I don't want money, and therefore I don't want my project to be for profit, but to help the humanity I love. How can we do? 1. I want to make available my invention and my non-profit patent. 2. I want to carry out my invention together with all interested readers, entrepreneurs, companies, countries, nations.3. I don't want to make the invention, to make money, but to help people around the world against the crown-virus. invention and free of charge, I am available to carry out the engineering, if there was an entrepreneur, or a company, which would produce my invention. How can we do? If you are a scholar, you could recommend this book, create word of mouth. If you are not an entrepreneur, in order to produce this invention, it does nothing, you can adopt all your ideas, to be able to spread this invention. In doing so, maybe someone will come and decide to make it happen. And therefore help today and in the near future, all humanity in the event of a pandemic. Thank you. Luca Falace Contacts: dott.lucafalace@gmail.com WEB SITES; www.lucafalace.com - www.geniusom.com",2020-03-25
Human Respiratory Viral Infections,Sunit K. Singh,"Using a multidisciplinary approach, Human Respiratory Viral Infections is set at the level between the definitive reference work and an essential clinical manual. Exploring recent advances in human respiratory viral research, the text builds on the basic sciences of epidemiology, virology, molecular biology, and immunology to cover clinical diagnos",2014-06-23
How to Survive a Pandemic,"Michael Greger, M.D., FACLM","A vital, timely text on the viruses that cause pandemics and how to face them, by the New York Times bestselling author of How Not to Die. From tuberculosis to bird flu and HIV to coronavirus, these infectious diseases share a common origin story: human interaction with animals. Otherwise known as zoonotic diseases for their passage from animals to humans, these pathogens—both pre-existing ones and those newly identified—emerge and re-emerge throughout history, sparking epidemics and pandemics that have resulted in millions of deaths around the world. How did these diseases come about? And what—if anything—can we do to stop them and their fatal march into our countries, our homes, and our bodies? In How to Survive a Pandemic, Dr. Michael Greger, physician and internationally-recognized expert on public health issues, delves into the origins of some of the deadliest pathogens the world has ever seen. Tracing their evolution from the past until today, Dr. Greger spotlights emerging flu and coronaviruses as he examines where these pathogens originated, as well as the underlying conditions and significant human role that have exacerbated their lethal influence to large, and even global, levels. As the world grapples with the devastating impact of the novel coronavirus 2019, Dr. Greger reveals not only what we can do to protect ourselves and our loved ones during a pandemic, but also what human society must rectify to reduce the likelihood of even worse catastrophes in the future.",2020-05-26
The Little Free Library Book,Margret Aldrich,"Traces the story of the grassroots initiative to promote literacy and encourage community through front-yard book exchanges, chronicling how the movement expanded throughout 70 countries. 10,000 first printing.",2015-04
Missing Daddy,Mariame Kaba,"“This book is a crucial tool for parents, educators, and anyone who cares about the well-being of children who, through no fault of their own, are forced to bear the consequences of our country’s obsession with incarceration. For children who desperately miss their parents, feel confused, or are teased at school, this book can go a long way in letting them know that they are not alone and in normalizing their experiences.” —Eve L. Ewing A little girl who misses her father because he's away in prison shares how his absence affects different parts of her life. Her greatest excitement is the days when she gets to visit her beloved father. With gorgeous illustrations throughout, this book illuminates the heartaches of dealing with missing a parent and shows that a little girl's love can overcome her father's incarceration. Mariame Kaba is an educator and organizer based in New York City. She has been active in anti-criminalization and anti-violence movements for the past thirty years. bria royal is a multidiscipliinary artist based in Chicago.",2019-09-17
Terpenoids Against Human Diseases,Dijendra Nath Roy,"This book highlights how terpenoids act as biological messengers and can be used as medicine against liver disease, neurodegenerative disease, cancer, infectious disease, cardiovascular disease, and inflammatory diseases. It emphasizes the metabolic engineering approach of terpenoids production and their toxicity.",2019-03-11
"Global Epidemics, Local Implications",Kevin J. A. Thomas,"Ultimately, this book shows how these responses underscore the importance of immigrant resources for developing public health interventions.",2019-12-17
Prevention and Protection Handbook Against COVID-19,"Zhongmin Liu,Tao Wang","The book aims to help students better understand the knowledge about the novel coronavirus, and guide them to protect themselves effectively as well. The book is divided into four chapters: General background; Coping strategies; Methods of treatment, and Dispelling rumors. The book focuses on how COVID-19 spreads, how to treat the disease and how properly prevent and control it. The book presents vivid illustrations and interesting texts, and intends to teach students how to protect themselves with scientific methods, overcome irrational panic and stay away from the disease.",2020-02-29
Cutie Sue Fights the Germs,Kate Melton,"An adorable story about a brave little girl and her brother who fight the germs. This book is a perfect way to teach your children the basics of personal hygiene and ways to stay healthy. Cutie Sue and her little brother Charlie felt ill. Their mother brought the siblings to the doctor who gave them precious advice on how to fight the illness and what to do to stay healthy for a long time. They started to do what the doctor said. ""The two were determined: ""We will win the fight! Our germs will not spread if we do these things right."" ""We'll sneeze into tissues and throw them away, And clean all our toys with some good cleaning spray."" ""We'll open our windows to get lots of air. We'll wash dirty clothes, we'll clean everywhere!"" Beautiful images, cute rhymes and a valuable lesson to learn - your kids will love this book for children! Suitable for early reading due to the font size.",2017-02-13
They Came Like Swallows,William Maxwell,"To eight-year old Bunny Morison, his mother is an angelic comforter in whose absence nothing is real or alive. To his older brother, Robert, his mother is someone he must protect, especially since the deadly, influenza epidemic of 1918 is ravaging their small Midwestern town. To James Morison, his wife, Elizabeth, is the center of a life that would disintegrate all too suddenly were she to disappear. Through the eyes of these characters, William Maxwell creates a sensitive portrait of an American family and of the complex woman who is its emotional pillar. Beautifully observed, deftly rendering the civilities and constraints of a vanished era, They Came Like Swallows measures the subterranean currents of love and need that run through all our lives. The result confirms Maxwell's reputation as one of the finest writers we have.",2009-09-23
Critical Care Nursing in Resource Limited Environments,Chris Carter,"All hospitals have critically ill patients, and their management depends upon the resources available. In many low income countries, critically ill patients may be admitted to a critical care unit; however, many are nursed on wards due to a lack of critical care beds or simply die before they reach the hospital. This book provides guidance on the unique situations for nurses working in these challenging environments, while considering ethical decision-making, providing appropriate services, and the types of patients admitted. Topics covered include: working in a resource limited environment; cultural awareness and international agendas; provision and access to healthcare services; ethical considerations in the context of resource limited environments; best practice and knowledge regarding rehabilitation, pain management, managing a major incident; relevant research concerning resource limited environments. Critical Care Nursing in Resource Limited Environments prepares readers to consider how best to utilise their skills and deliver safe patient care within a resource limited context. Each easy-to-read chapter provides core knowledge and relevant research, as well as useful ideas and solutions, with further reading sections to signpost readers to key international resources. This text provides practical ideas for nurses working in critical care and defence nursing, and acute areas in resource limited environments. It can also be used to support educational courses and pre-deployment training for nurses hoping to work in Global Health.",2019-06-05
What a Plant Knows,Daniel Chamovitz,"How does a Venus flytrap know when to snap shut? Can it actually feel an insect's tiny, spindly legs? And how do cherry blossoms know when to bloom? Can they actually remember the weather? For centuries we have collectively marveled at plant diversity and form—from Charles Darwin's early fascination with stems to Seymour Krelborn's distorted doting in Little Shop of Horrors. But now, in What a Plant Knows, the renowned biologist Daniel Chamovitz presents an intriguing and scrupulous look at how plants themselves experience the world—from the colors they see to the schedules they keep. Highlighting the latest research in genetics and more, he takes us into the inner lives of plants and draws parallels with the human senses to reveal that we have much more in common with sunflowers and oak trees than we may realize. Chamovitz shows how plants know up from down, how they know when a neighbor has been infested by a group of hungry beetles, and whether they appreciate the Led Zeppelin you've been playing for them or if they're more partial to the melodic riffs of Bach. Covering touch, sound, smell, sight, and even memory, Chamovitz encourages us all to consider whether plants might even be aware of their surroundings. A rare inside look at what life is really like for the grass we walk on, the flowers we sniff, and the trees we climb, What a Plant Knows offers us a greater understanding of science and our place in nature.",2012-05-22
Modeling Paradigms and Analysis of Disease Transmission Models,"Abba B. Gumel,Suzanne Lenhart","This volume stems from two DIMACS activities, the U.S.-Africa Advanced Study Institute and the DIMACS Workshop, both on Mathematical Modeling of Infectious Diseases in Africa, held in South Africa in the summer of 2007. It contains both tutorial papers and research papers. Students and researchers should find the papers on modeling and analyzing certain diseases currently affecting Africa very informative. In particular, they can learn basic principles of disease modeling and stability from the tutorial papers where continuous and discrete time models, optimal control, and stochastic features are introduced.",2010
